Consulta|dia_semana|semana_del_mes|mes|cuatrimestre|anio|hora_discretizada|dni_discretizado|legajo_discretizado|posee_legajo|posee_telefono|carrera_valor|proveedor_correo|Clase|cantidad_caracteres|proporcion_mayusculas|proporcion_letras|cantidad_tildes|cantidad_palabras|cantidad_palabras_cortas|proporcion_palabras_distintas|frecuencia_signos_puntuacion|cantidad_oraciones|utiliza_codigo_asignatura
buenos dias, te escribo por dos consultas, solicite la simultaneidad de dos carreras la de contador legajo 166116 y la de adm.123011, con la de administracion no puedo ingresar, es asi queda un solo legajo. y por otro lado en las materias del primer cuatrimestre no figura matematica ii como para contracursada ya que anteriormente la curse, es posible? gracias |0|1|2|1|2019|0|1|1|1|1|3|yahoo|Simultaneidad de Carreras|362|0.0|0.7790055248618785|0|61|35|0.8032786885245902|0.022099447513812154|2|0
hola, quiero consultar &iquest;como hago para inscribirme en una segunda carrera en unlu? actualmente estoy cursando lic en sistemas de información y quisiera inscribirme a ingeniería industrial y poder cursar ambas carreras en unlu.  muchas gracias. |4|3|12|2|2015|0|4|2|1|1|14|gmail|Simultaneidad de Carreras|251|0.0|0.8286852589641435|2|38|14|0.8421052631578947|0.0199203187250996|2|0
hola ! podrian informarme de como hago para la simultaneidad de las carreras de administracion y contador? gracias |0|5|2|1|2016|2|4|0|0|0|0|live|Simultaneidad de Carreras|115|0.0|0.8260869565217391|0|19|12|0.8947368421052632|0.017391304347826087|1|0
cuando voy a ingresar a la pagina para  accesos de aspirantes y ingreso mi documento, me aparece &quot;no existen datos para el aspirante ingresado.&quot; y yo si soy un aspirante ingresado |6|1|3|1|2017|2|7|0|0|1|52|hotmail|Requisitos de Ingreso|190|0.0|0.8|0|33|18|0.8484848484848485|0.021052631578947368|1|0
buenas tardes, intenté ingresar a consultar servicios académicos y no puedo.... el mje es &quot;el estudiante no cumple con los requisitos para ingresar al sistema&quot;.  aguardo vuestros comentarios, muchas gracias, |2|4|6|1|2016|1|2|1|1|1|3|hotmail|Requisitos de Ingreso|218|0.0|0.8027522935779816|2|32|13|0.90625|0.045871559633027525|5|0
hola q tal... me olvidé la contraseña.. quiero cambiarla y me dice estudiante inhabilitado... que podría hacer para solucionarlo porque me tengo que anotar en un final de introducción a la administración..  |2|1|12|2|2018|0|3|4|1|1|54|gmail|Requisitos de Ingreso|207|0.0|0.7922705314009661|4|34|18|0.8529411764705882|0.04830917874396135|10|0
buen día, tengo un problema y es que no puedo entrar a mi perfil académico  |1|1|12|2|2018|0|7|3|1|0|16|gmail|Requisitos de Ingreso|76|0.0|0.7763157894736842|2|17|11|0.9411764705882353|0.013157894736842105|1|0
hola yo habia ido ah la universidad ah terminar la inscripcion y me dijieron que despues tenia que ingresar en mi perfil desde la pagina y cuando intento ingresar me pone que no existen datos para este aspirante. si me podrian dar una solucion por que yo deveria comenzar el 05 de marzo y aun no se el horario que tengo que ah cursar. desde ya muchas gracias. |6|4|2|1|2018|2|7|0|0|1|41|gmail|Requisitos de Ingreso|360|0.0|0.7972222222222223|0|69|41|0.7391304347826086|0.008333333333333333|3|0
quería saber hasta cuando tengo tiempo de entregar el analítico del secundario, yo ingrese el año pasado a la universidad. y si no esta si podría entregar algún certificado. muchas gracias  |2|2|2|1|2016|2|5|2|1|1|54|gmail|Requisitos de Ingreso|190|0.0|0.8157894736842105|4|33|15|0.8787878787878788|0.015789473684210527|2|0
no recuerdo mi contraseña y me figura como alumno inavilitado |0|2|12|2|2018|1|6|4|1|1|27|gmail|Requisitos de Ingreso|62|0.0|0.8387096774193549|0|11|6|1.0|0.0|1|0
no puedo acceder, probablemente sea por poner una contraseña incorrecta. me dice &quot;estudiante inhabilitado&quot;. gracias. |3|4|11|2|2016|0|5|3|1|1|27|gmail|Requisitos de Ingreso|127|0.0|0.8188976377952756|0|16|7|1.0|0.047244094488188976|3|0
buenos dias, quiero saber como tengo que hacer para darme de alta? |6|1|2|1|2017|3|5|2|1|0|17|gmail|Requisitos de Ingreso|67|0.0|0.7910447761194029|0|13|5|1.0|0.029850746268656716|1|0
hola. intente inscribirme en las materias del primer cuatrimestre y me dice que no estoy en condiciones de hacerlo.  me podrán decir cuál es el inconveniente por favor.   |0|3|2|1|2019|0|4|0|0|0|4|hotmail|Requisitos de Ingreso|171|0.0|0.8011695906432749|2|32|19|0.84375|0.017543859649122806|3|0
por que no me puedo inscribir en las materias  |0|3|2|1|2019|2|8|0|0|1|27|gmail|Requisitos de Ingreso|47|0.0|0.7872340425531915|0|11|8|0.9090909090909091|0.0|1|0
no me deja entrar en el sistema .  |6|4|2|1|2017|1|5|3|1|1|3|gmail|Requisitos de Ingreso|35|0.0|0.7142857142857143|0|10|8|0.9|0.02857142857142857|1|0
hola buenas noches necesito saber   que hice mal al llenar los formularios de preincripcion ya que quise ingresar a acceso para aspirantes y dice que no estoy registrada |2|3|5|1|2017|2|1|1|1|1|55|gmail|Requisitos de Ingreso|170|0.0|0.8235294117647058|0|31|18|0.8709677419354839|0.0|1|0
a quien corresponda,  soy graduada del profesorado en historia por la unlu en el año 2016. me inscribí para cursar la licenciatura en historia pero por problemas personales me fue imposible cursar. hay posibilidades de reinscribirme y comenzar a cursar durante el primer cuatrimestre de 2018?  muchas gracias |6|2|2|1|2018|3|3|0|0|0|6|hotmail|Requisitos de Ingreso|309|0.0|0.7993527508090615|1|51|27|0.7647058823529411|0.012944983818770227|2|0
quisiera poder anotarme para comenzar la carrera de contador publio me gustaria saber que documentacion preciso poruqe en 2014 curse comercio internacional si neesito presentar toda la documentacion nueva o no? |2|3|2|1|2017|1|3|2|1|1|54|hotmail|Requisitos de Ingreso|211|0.0|0.8293838862559242|0|32|13|0.9375|0.004739336492890996|1|0
hola, buenas tardes. se me vence la prorroga para entregar el titulo el dia martes 22 de febrero de 2017. el comisionista que lleva a legalizar el titulo, no consigue turno. que hago? el titulo lo tengo pero el turno no. desde ya muchas gracias. |4|3|2|1|2017|1|5|2|1|1|2|hotmail|Requisitos de Ingreso|246|0.0|0.7601626016260162|0|46|23|0.8260869565217391|0.032520325203252036|5|0
como ago para conseguir mi numero d legajo?  |0|2|3|1|2019|2|3|4|1|0|52|gmail|Requisitos de Ingreso|45|0.0|0.7777777777777778|0|10|7|0.9|0.022222222222222223|1|0
buenos días, quería hacer una consulta sobre la entrega del analítico. egresé en el año 2017 y quisiera saber si hace falta ir a legalizar el título, o si con la copia de este ya es suficiente (ya que algunos me comentan que el título ya viene legalizado).  muchas gracias |3|1|8|2|2018|0|7|4|1|0|0|gmail|Requisitos de Ingreso|273|0.0|0.7765567765567766|6|52|29|0.8653846153846154|0.014652014652014652|2|0
hola quisiera saber si se envio mi solicitud deinscripcion..gracias |5|4|5|1|2017|1|2|1|1|1|16|autloock|Requisitos de Ingreso|68|0.0|0.8382352941176471|0|10|5|1.0|0.029411764705882353|2|0
hola quería saber porque no puedo ingresar a mi perfil para anotarme a las materias .. hoy temprano tipo 6 de la mañana entre lo mas bien pero no me podía anotar y ahora directamente no puedo entrar ! le agradecería la respuesta .. saludos ..  |3|4|2|1|2017|0|6|3|1|1|43|outlook|Requisitos de Ingreso|244|0.0|0.7745901639344263|3|48|28|0.8333333333333334|0.028688524590163935|6|0
buenos dias.cuando ingreso numero de legajo y clave me aparece que el estudiante no cumple con los requisitos. como puedo solucionarlo? desde ya muchas gracias espero su respuesta  |6|2|2|1|2017|2|5|3|1|1|2|gmail|Requisitos de Ingreso|181|0.0|0.8232044198895028|0|30|13|0.9666666666666667|0.016574585635359115|2|0
a quien corresponda: buenos días. les comento que año pasado  me había inscrito para la carrera de contador publico, no pude arrancar el taller que se dicto en febrero. ahora me quiero volver anotar para empezar el 2&deg; cuatrimestre y no me deja. (ud. ya se encuentra inscripto como aspirante para el año 2017. no es posible realizar la registración.) desde ya muchas gracias |4|3|4|1|2017|0|2|0|0|1|54|hotmail|Requisitos de Ingreso|378|0.0|0.783068783068783|3|66|33|0.7878787878787878|0.023809523809523808|6|0
buenas noches , no me da la posibilidad de inscribirme en las materias queria saber porque. espero su respuesta. saludos  |0|3|2|1|2018|3|8|0|0|1|5|gmail|Requisitos de Ingreso|122|0.0|0.8032786885245902|0|22|11|0.9545454545454546|0.02459016393442623|2|0
no me deja entrar a mi perfil de estudiantes. . me dice que no completo la info... quisiera saver como resolverlo  |1|4|11|2|2018|2|6|4|1|1|41|gmail|Requisitos de Ingreso|115|0.0|0.7652173913043478|0|23|15|0.8695652173913043|0.043478260869565216|5|0
no me puedo anotar a las cursadas soy aspirante   |1|3|2|1|2019|3|8|0|0|0|5|gmail|Requisitos de Ingreso|50|0.0|0.78|0|12|8|0.8333333333333334|0.0|1|0
hola buenos dias. tengo un problema y es que no puedo entrar a anotarme a los finales. cuando ingreso legajo y contraseña  me salta que no cumplo con los requisitos. quisiera saber que tengo que hacer para poder anotarme a los finales? muchas gracias |2|1|12|2|2018|1|6|4|1|1|3|gmail|Requisitos de Ingreso|251|0.0|0.8047808764940239|0|46|22|0.7391304347826086|0.01593625498007968|3|0
hola, buenaa tardes, quería entrar en la sección de aspirantes / estudiantes de la página pero en aspirantes me dice que poseo legajo pero no estoy habilitado para hacer una consulta y en estudiantes me dice algo similar, espero puedan ayudarme gracias ! |1|1|12|2|2018|1|6|4|1|1|17|gmail|Requisitos de Ingreso|255|0.0|0.8117647058823529|3|44|22|0.7954545454545454|0.01568627450980392|1|0
hola quisiera entrar al sistema con mi numero de legajo para anotarme a una carrera pero no me deja como puedo hacer? desde ya gracias  |2|2|3|1|2017|1|3|2|1|1|0|gmil|Requisitos de Ingreso|136|0.0|0.8014705882352942|0|27|16|0.9629629629629629|0.007352941176470588|1|0
quiero inscribirme a las materias de la carrera pero me arroja el mensaje de &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; que tengo que hacer  |0|3|2|1|2019|0|6|0|0|1|54|gmail|Requisitos de Ingreso|196|0.0|0.8061224489795918|1|33|18|0.8787878787878788|0.02040816326530612|2|0
necesito saber porque no me deja inscribirme en las materias cuando yo no debo nada del secundario y estoy haciendo el taller de ingreso |0|3|2|1|2019|0|8|0|0|1|43|gmail|Requisitos de Ingreso|137|0.0|0.8248175182481752|0|25|14|0.96|0.0|1|0
quiero ingresar a mi cuenta de la universidad y me dice que no cumplo los requisitos para ingresar al sistema porque?  |0|4|11|2|2018|3|7|4|1|1|54|gmail|Requisitos de Ingreso|119|0.0|0.8067226890756303|0|23|14|0.9130434782608695|0.008403361344537815|1|0
hola buenos dias, no me puedo inscribir a las cursadas para rendir el primer cuatrimestre.. |0|3|2|1|2019|0|7|0|0|1|5|gmail|Requisitos de Ingreso|92|0.0|0.8043478260869565|0|16|8|1.0|0.03260869565217391|2|0
dice que estoy inhabilitada , como hago para volver a habilitar ?  |0|1|2|1|2017|3|5|2|1|0|5|gmail|Requisitos de Ingreso|67|0.0|0.7761194029850746|0|14|10|0.9285714285714286|0.029850746268656716|1|0
hola, mi nombre es agustin pompiglio y este año (2018) ingrese en la universidad. actualmente me encuentro cursando el taller de &quot;análisis y resolución de problemas&quot;. mi consulta es acerca de que no me deja inscribirme a las materias via web ya que me informa que &quot;no cumplo con los requisitos&quot;. quería saber si me podrian brindar una solución, desde ya muchas gracias. |0|2|2|1|2018|1|6|0|0|1|3|hotmail|Requisitos de Ingreso|390|0.0|0.7871794871794872|4|64|34|0.828125|0.02564102564102564|4|0
mi consulta es que hoy 5 de diciembre comenzaban las inscripciones a los finales , pero cuando quiero ingresar poniendo mi legajo y mi contraseña me salta que xe2x80x9cel estudiante no cumple con requisitos xe2x80x9c . quisiera saber el porque . gracias  |2|1|12|2|2018|3|7|4|1|1|25|gmail|Requisitos de Ingreso|255|0.0|0.7843137254901961|0|44|23|0.8863636363636364|0.011764705882352941|2|0
hola, tengo un problema cuando quiero ingresar al sistema para ver las fechas de los finales para armar mi cronograma, me salta un cartel diciendo: &quot;el estudiante no cumple los requisitos para entrar al sistema&quot;. quisiera saber a que se debe esto. gracias |0|1|12|2|2016|1|4|3|1|1|27|hotmail|Requisitos de Ingreso|266|0.0|0.8045112781954887|0|44|20|0.8863636363636364|0.02631578947368421|2|0
buenas tardes,no puedo ingresar para la inscricion de examenes pongo numero de lejago y la clave que me dieron y me dice que es incorrecto ,me podrian decir que puedo hacer para ingresar .muchas gracias.   |0|2|12|2|2018|3|1|4|1|1|7|hotmail|Requisitos de Ingreso|206|0.0|0.8009708737864077|0|38|19|0.7105263157894737|0.019417475728155338|2|0
hola quisiera saber que documentacion me falta,ya que hoy intente inscribirme a las materias y no puedo,aparece un cartel avisando que no cumplo con los requisitos correspondientes  |0|3|2|1|2019|2|3|0|0|1|52|gmail|Requisitos de Ingreso|182|0.0|0.8351648351648352|0|29|16|0.8620689655172413|0.01098901098901099|1|0
hola no puedo entrar, yo ya soy estudiante, por favor me podrían ayudar con esto, o informarme que tengo que hacer. desde ya muchas gracias.  |0|3|2|1|2017|3|1|3|1|1|54|hotmail|Requisitos de Ingreso|142|0.0|0.7816901408450704|1|27|14|0.8888888888888888|0.035211267605633804|2|0
&quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot;   &iquest;que tendría que hacer para poder estar valido para poder inscribirme?  |4|4|2|1|2018|3|7|0|0|1|0|gmail|Requisitos de Ingreso|179|0.0|0.7988826815642458|2|28|13|0.7857142857142857|0.0335195530726257|2|0
buen día, estoy intentando anotarme a las materias y no puedo ya que al seguir todos los pasos me dice que no tengo los requisitos necesarios para anotarme. &iquest;qué puedo hacer? espero su respuesta. |0|3|2|1|2019|0|8|0|0|1|5|gmail|Requisitos de Ingreso|203|0.0|0.8029556650246306|2|35|18|0.8857142857142857|0.024630541871921183|2|0
no puedo inscribirme a las materias del primer cuatrimestre  |0|3|2|1|2019|3|7|0|0|1|54|gmail|Requisitos de Ingreso|61|0.0|0.8360655737704918|0|11|6|0.9090909090909091|0.0|1|0
hola!  tenía un problema al enviar la solicitud de inscripción a cursadas. ingreso y figura que no cumplo con los requisitos. quisiera saber si me podrían brindar una solución, gracias.  |5|4|2|1|2019|3|8|0|0|1|25|gmail|Requisitos de Ingreso|187|0.0|0.8021390374331551|4|33|16|0.9393939393939394|0.026737967914438502|3|0
buenas , quiero ingresar para anotarme en los finales , y me aparece que no cumplo con los requisitos del sistema , que tengo q hacer ??  |2|1|12|2|2018|0|6|4|1|1|43|live|Requisitos de Ingreso|138|0.0|0.7608695652173914|0|29|18|0.8275862068965517|0.036231884057971016|1|0
 a la hora de anotarme a las cursadas me sale este mensaje &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; me gustaría saber los requisitos que incumplo para ponerlos al día y poder así anotarme adecuadamente |3|3|2|1|2019|2|7|0|0|0|17|live|Requisitos de Ingreso|259|0.0|0.8146718146718147|4|43|25|0.813953488372093|0.015444015444015444|2|0
buenas! en la pagina para anotarme a las materias me figura que no puedo hacerlo porque no estoy autorizada. yo presente toda la documentación en tiempo y forma.  esperó puedan ayudarme y sobre todo tener vacante en los horarios que necesitaba para cursar. saludos |0|3|2|1|2019|2|4|0|0|1|5|gmail|Requisitos de Ingreso|265|0.0|0.8150943396226416|2|46|22|0.8260869565217391|0.01509433962264151|3|0
hola buenas tardes..la semana pasada fui a la universidad a inscribirme, me dijeron que me tiene que llegar un gmail con las materias y horarios...la cueation es que aun no me llega nada...quisiera saber cuando se empieza acursar las materias? es por eso que estoy interesada en que me llege el correo |2|3|2|1|2018|2|8|0|0|1|52|gmail|Requisitos de Ingreso|302|0.0|0.7947019867549668|0|53|29|0.8113207547169812|0.033112582781456956|8|0
hola necesitaría saber porque no puedo inscribir para el primer cuatrimestre, que me falta. gracias |0|3|2|1|2019|2|4|0|0|1|3|live|Requisitos de Ingreso|100|0.0|0.83|1|16|7|1.0|0.02|1|0
no puedo inscribirme porque xe2x80x9cno cumplo con los requisitos necesariosxe2x80x9d |0|3|2|1|2019|0|8|0|0|0|27|gmail|Requisitos de Ingreso|86|0.0|0.7906976744186046|0|11|4|1.0|0.0|1|0
hola, soy cruz elizabeth, aspirante a ingenieria agronomica y queria saber por que no puedo inscribirme para cursar las materias??  |6|4|2|1|2019|1|7|0|0|0|2|gmail|Requisitos de Ingreso|132|0.0|0.8106060606060606|0|22|11|0.9545454545454546|0.030303030303030304|1|0
buenas tarde, tengo un inconveniente al querer ingresar a mi cuenta de estudiante, para inscribirme a los examenes finales, cuando quiero ingresar surge un enunciado que dice que el estudiante no reune los requisitos, saludos.. |0|2|12|2|2018|1|5|4|1|1|25|hotmail|Requisitos de Ingreso|228|0.0|0.8201754385964912|0|36|16|0.8611111111111112|0.02631578947368421|2|0
no puedo ingrasar a mi cuenta con mi contraseña. intente en &quot;&iquest;he olvidado mi contraseña? y aparece como estudiante inhabilitado |0|2|12|2|2016|3|4|3|1|1|3|hotmail|Requisitos de Ingreso|140|0.0|0.8142857142857143|0|21|10|0.9047619047619048|0.02857142857142857|1|0
no me deja inscribirme a la cursadas |4|4|2|1|2018|2|7|0|0|1|3|hotmail|Requisitos de Ingreso|37|0.0|0.8108108108108109|0|8|6|1.0|0.0|1|0
buenas tardes, cuando quise incribirme a las asigaturas no lo pude hacer, ya que me aparece el siguiente cartel: &quot;ud no cumple con los requisitos necesarios para confirmar su inscripción a cursadas&quot; quisiera saber el motivo.  saluda atte. veronica albornoz. |0|3|2|1|2019|2|3|0|0|1|26|gmail|Requisitos de Ingreso|268|0.0|0.8097014925373134|1|42|18|0.9047619047619048|0.029850746268656716|3|0
el sistema no me deja anotarme en las materias cuando intento me sale este mensaje &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas&quot;. como lo puedo resolver? |3|3|2|1|2019|3|8|0|0|1|19|gmail|Requisitos de Ingreso|205|0.0|0.8097560975609757|1|33|18|0.9393939393939394|0.024390243902439025|2|0
hola! quiero acceder al sistema para inscribirme a los finales pero me salta que no cumplo con los requisitos para poder acceder. |1|2|12|2|2018|3|7|4|1|1|5|hotmail|Requisitos de Ingreso|130|0.0|0.8153846153846154|0|23|12|0.9130434782608695|0.015384615384615385|1|0
aparezco como estudiante desahabilitado, puede ser ya que no me anota a ninguna materia del proximo cuatrimestre ni aprobe ningun parcial?  saludos  |2|2|12|2|2018|0|6|3|1|1|95|gmail|Requisitos de Ingreso|149|0.0|0.825503355704698|0|25|12|0.92|0.013422818791946308|1|0
buenos días quería saber porque me tirar que no cumplo los requisitos cuando me quiero anotar a las materias? |0|3|2|1|2019|0|8|0|0|1|54|gmail|Requisitos de Ingreso|110|0.0|0.8181818181818182|2|20|9|0.95|0.00909090909090909|1|0
trato de ingresar al sitio para anotarme en la finales . y dice que no soy un alumno que no cumplo los requisitos para entrar al sistema  |1|2|12|2|2016|0|5|3|1|1|0|hotmail|Requisitos de Ingreso|138|0.0|0.7898550724637681|0|29|19|0.8275862068965517|0.007246376811594203|1|0
no puedo ingresar con mi legajo y con mi contraseña a mi perfil |4|2|12|2|2016|0|4|3|1|1|0|gmail|Requisitos de Ingreso|64|0.0|0.796875|0|14|9|0.7857142857142857|0.0|1|0
buenas tardes, quería hacer una consulta acerca de porque no me deja ingresar a la cuenta de inscripción cursada. no me estaría dejando anotar |2|3|2|1|2019|3|8|0|0|1|54|gmail|Requisitos de Ingreso|143|0.0|0.8181818181818182|3|25|11|0.88|0.013986013986013986|1|0
buenos dias, necesito saber por qué a la hora inscribirme a las materias del primer cuatrimestre me dice que no cumplo con los requisitos?. lo que si aclaro es que no realicé el taller en febrero por inconvenientes personales con la idea de hacerlo en julio. |0|3|2|1|2019|0|7|0|0|1|3|gmail|Requisitos de Ingreso|259|0.0|0.806949806949807|2|47|29|0.8297872340425532|0.015444015444015444|2|0
hola queria saber &iquest;porque no puedo entrar a informacion academica? pongo mi nro de legajo y contraseña de manera correcta y no entra |2|1|12|2|2016|3|8|3|1|1|54|gmail|Requisitos de Ingreso|140|0.0|0.8142857142857143|0|24|11|0.875|0.014285714285714285|1|0
hola, me intento inscribir a las asignaturas y me dice que no tengo los requisitos necesarios. que esta pasando? |0|3|2|1|2019|3|8|0|0|1|0|hotmail|Requisitos de Ingreso|113|0.0|0.8053097345132744|0|20|12|0.9|0.02654867256637168|1|0
al intentar inscribirme en las asignaturas, me salta el siguiente mensaje: &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; quisiera saber cual es el problema gracias. |0|3|2|1|2019|1|8|0|0|0|17|yahoo|Requisitos de Ingreso|217|0.0|0.815668202764977|1|32|15|0.96875|0.03225806451612903|3|0
buenas tardes queria ssber por que no logro anotarme en las asignaturas del cuatrimestre..?? muchas gracias |0|3|2|1|2019|1|8|0|0|1|52|gmail|Requisitos de Ingreso|108|0.0|0.8148148148148148|0|17|7|1.0|0.037037037037037035|2|0
quiero entrar a mi perfil . me aparece que el estudiante no cumple con los requisitos  para ingresar a el sistema  |5|3|12|2|2018|3|5|4|1|1|2|outlook|Requisitos de Ingreso|115|0.0|0.7913043478260869|0|24|15|0.8333333333333334|0.008695652173913044|1|0
hola, no puedo ingresar a la página. cuando ingreso mis datos me aparece &quot;el estudiante no cumple con los requisitos&quot;. quiero consultar mis materias y los finales  |0|1|12|2|2018|2|6|4|1|1|43|hotmail|Requisitos de Ingreso|174|0.0|0.7988505747126436|1|29|13|0.8620689655172413|0.028735632183908046|2|0
hola! yo me inscribí este año en la carrera de tecnica en inspección de alimentos, quise anotarme para la inscripción a las cursadas pero me aparece que no tengo los requisitos para anotarme gracias |0|3|2|1|2019|0|8|0|0|1|19|gmail|Requisitos de Ingreso|199|0.0|0.8190954773869347|3|35|20|0.8285714285714286|0.010050251256281407|1|0
buenas tardes,no puedo ingresar a mi situación académica,ni tampoco me permite reestablecer la clave aunque yo no la he cambiado ,que debo hacer ? desde ya muchas gracias  |1|1|12|2|2018|0|8|4|1|1|5|gmail|Requisitos de Ingreso|172|0.0|0.8081395348837209|2|30|14|0.9333333333333333|0.023255813953488372|1|0
no me deja inscribirme a las cursadas, me salta que yo no cumple con los requisitos necesarios para confirmar . |0|3|2|1|2019|0|7|0|0|0|43|gmail|Requisitos de Ingreso|112|0.0|0.8035714285714286|0|21|14|0.9047619047619048|0.017857142857142856|1|0
quería preguntar por qué no me permite inscribirme a las materias para cursar  |0|3|2|1|2019|1|8|0|0|1|0|hotmail|Requisitos de Ingreso|79|0.0|0.8227848101265823|2|15|9|0.9333333333333333|0.0|1|0
nose qué requisitos me faltaria para poder inscribirme a las materias de cursadas. |2|3|2|1|2019|3|7|0|0|1|54|gmail|Requisitos de Ingreso|83|0.0|0.8313253012048193|1|14|8|1.0|0.012048192771084338|1|0
no puedo ingresar a mi perfil de alumno |3|1|3|1|2017|3|6|3|1|1|43|gmail|Requisitos de Ingreso|40|0.0|0.8|0|9|5|1.0|0.0|1|0
quiero entrar a mi perfil, para anotarme en un final y me salta que no cumplo los requisitos para ingresar al sistema, por que puede ser? me parece raro porque tengo todo al dia |4|1|12|2|2018|1|7|4|1|1|54|gmail|Requisitos de Ingreso|178|0.0|0.7921348314606742|0|35|21|0.8857142857142857|0.016853932584269662|1|0
buenas tardes yo me inscribi el dia viernes y me dijeron que hoy podia anotarme en los horarios de cursada pero me dice que no cumplo con los requisitos, que puedo hacer? |0|3|2|1|2019|2|3|0|0|1|52|gmail|Requisitos de Ingreso|171|0.0|0.8011695906432749|0|33|20|0.8484848484848485|0.011695906432748537|1|0
buenas, quiero inscribirme a las materias del primer cuatrimestre y no puedo porque me dice que no cumplo con los requisitos. eso a qué se debe si presenté toda la documentación?  |0|3|2|1|2019|1|8|0|0|1|52|hotmail|Requisitos de Ingreso|180|0.0|0.8055555555555556|3|33|21|0.9090909090909091|0.016666666666666666|1|0
